M/W,Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2023,3,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Germany,Iran,3,1,25,22,25,25,-,22,25,16,21,-,SET 3,19,15,4,0,,15,1,5,21,4,5,3,12,0,4,20,24,1,0,11,12,9,6,17,2,0,18,20
Men,2023,3,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Germany,Iran,3,1,25,22,25,25,-,22,25,16,21,-,SET 4,19,15,1,3,,15,4,7,26,1,5,3,9,3,9,13,25,3,1,13,17,8,2,11,3,0,23,26
Men,2023,3,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Iran,Germany,1,3,22,25,16,21,-,25,22,25,25,-,ALL SETS,52,40,9,3,,40,15,32,87,9,28,20,57,3,16,66,85,21,5,44,70,23,22,51,22,2,66,90
Men,2023,3,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Iran,Germany,1,3,22,25,16,21,-,25,22,25,25,-,SET 1,17,14,2,1,,14,7,8,29,2,6,6,14,1,3,19,23,6,0,14,20,8,6,18,9,1,20,30
Men,2023,3,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Iran,Germany,1,3,22,25,16,21,-,25,22,25,25,-,SET 2,13,8,4,1,,8,1,7,16,4,3,7,14,1,4,19,24,5,2,8,15,7,7,14,5,0,11,16
Men,2023,3,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Iran,Germany,1,3,22,25,16,21,-,25,22,25,25,-,SET 3,12,11,1,0,,11,4,11,26,1,10,3,14,0,5,12,17,7,0,12,19,5,4,9,6,1,19,26
Men,2023,3,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Iran,Germany,1,3,22,25,16,21,-,25,22,25,25,-,SET 4,10,7,2,1,,7,3,6,16,2,9,4,15,1,4,16,21,3,3,10,16,3,5,10,2,0,16,18
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Ukraine,3,0,25,25,25,-,-,16,19,18,-,-,ALL SETS,54,35,11,8,,35,7,15,57,11,18,9,38,8,13,52,73,11,1,28,40,18,12,34,17,0,40,57
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Ukraine,3,0,25,25,25,-,-,16,19,18,-,-,SET 1,18,15,2,1,,15,1,7,23,2,6,5,13,1,3,20,24,2,0,11,13,7,6,16,7,0,16,23
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Ukraine,3,0,25,25,25,-,-,16,19,18,-,-,SET 2,19,10,5,4,,10,2,4,16,5,9,0,14,4,4,17,25,6,1,7,14,6,2,8,3,0,14,17
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Ukraine,3,0,25,25,25,-,-,16,19,18,-,-,SET 3,17,10,4,3,,10,4,4,18,4,3,4,11,3,6,15,24,3,0,10,13,5,4,10,7,0,10,17
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Cuba,0,3,16,19,18,-,-,25,25,25,-,-,ALL SETS,34,31,2,1,,31,17,18,66,2,10,8,20,1,15,39,55,8,8,44,60,15,22,42,11,0,54,65
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Cuba,0,3,16,19,18,-,-,25,25,25,-,-,SET 1,13,12,1,0,,12,5,8,25,1,3,5,9,0,4,13,17,5,1,15,21,6,10,19,6,0,19,25
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Cuba,0,3,16,19,18,-,-,25,25,25,-,-,SET 2,13,12,0,1,,12,6,4,22,0,3,0,3,1,5,13,19,1,4,16,21,6,6,13,3,0,19,22
Men,2023,4,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Cuba,0,3,16,19,18,-,-,25,25,25,-,-,SET 3,8,7,1,0,,7,6,6,19,1,4,3,8,0,6,13,19,2,3,13,18,3,6,10,2,0,16,18
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Czechia,3,2,22,25,25,21,16,25,16,20,25,14,ALL SETS,73,57,10,6,,57,21,35,113,10,26,26,62,6,16,87,109,19,5,53,77,29,21,58,33,0,77,110
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Czechia,3,2,22,25,25,21,16,25,16,20,25,14,SET 1,12,10,1,1,,10,7,10,27,1,5,6,12,1,1,20,22,4,0,14,18,7,5,12,6,0,22,28
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Czechia,3,2,22,25,25,21,16,25,16,20,25,14,SET 2,17,15,2,0,,15,3,9,27,2,3,7,12,0,3,22,25,4,1,8,13,8,5,15,6,0,17,23
