M/W,Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2023,15,2023/10/4,B,Preliminary,Tokyo,Japan,USA,Tunisia,3,0,25,25,25,-,-,11,12,14,-,-,ALL SETS,59,40,13,6,,40,6,24,70,13,12,27,52,6,8,59,73,14,0,18,32,35,1,40,4,1,62,67
Men,2023,15,2023/10/4,B,Preliminary,Tokyo,Japan,USA,Tunisia,3,0,25,25,25,-,-,11,12,14,-,-,SET 1,18,11,4,3,,11,3,11,25,4,4,9,17,3,2,19,24,5,0,5,10,11,0,12,1,0,22,23
Men,2023,15,2023/10/4,B,Preliminary,Tokyo,Japan,USA,Tunisia,3,0,25,25,25,-,-,11,12,14,-,-,SET 2,18,13,3,2,,13,2,6,21,3,0,8,11,2,4,19,25,1,0,7,8,13,0,14,0,0,21,21
Men,2023,15,2023/10/4,B,Preliminary,Tokyo,Japan,USA,Tunisia,3,0,25,25,25,-,-,11,12,14,-,-,SET 3,23,16,6,1,,16,1,7,24,6,8,10,24,1,2,21,24,8,0,6,14,11,1,14,3,1,19,23
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Japan,Türkiye,3,0,25,25,25,-,-,15,20,19,-,-,ALL SETS,50,42,6,2,,42,8,21,71,6,15,8,29,2,11,61,74,11,2,26,39,32,7,41,16,0,54,70
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Japan,Türkiye,3,0,25,25,25,-,-,15,20,19,-,-,SET 1,18,16,1,1,,16,1,10,27,1,6,3,10,1,6,18,25,3,0,9,12,13,1,14,7,0,19,26
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Japan,Türkiye,3,0,25,25,25,-,-,15,20,19,-,-,SET 2,16,13,3,0,,13,6,6,25,3,5,3,11,0,2,22,24,5,0,9,14,11,2,14,4,0,21,25
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Japan,Türkiye,3,0,25,25,25,-,-,15,20,19,-,-,SET 3,16,13,2,1,,13,1,5,19,2,4,2,8,1,3,21,25,3,2,8,13,8,4,13,5,0,14,19
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Türkiye,Japan,0,3,15,20,19,-,-,25,25,25,-,-,ALL SETS,38,31,5,2,,31,14,32,77,5,15,12,32,2,16,37,55,12,2,49,63,16,6,27,18,1,57,76
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Türkiye,Japan,0,3,15,20,19,-,-,25,25,25,-,-,SET 1,9,8,1,0,,8,5,8,21,1,5,5,11,0,3,12,15,2,1,16,19,6,3,12,3,0,18,21
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Türkiye,Japan,0,3,15,20,19,-,-,25,25,25,-,-,SET 2,15,11,4,0,,11,5,13,29,4,4,3,11,0,7,14,21,5,0,17,22,5,3,9,9,0,19,28
Men,2023,16,2023/10/4,B,Preliminary,Tokyo,Japan,Türkiye,Japan,0,3,15,20,19,-,-,25,25,25,-,-,SET 3,14,12,0,2,,12,4,11,27,0,6,4,10,2,6,11,19,5,1,16,22,5,0,6,6,1,20,27
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Finland,Türkiye,2,3,22,23,25,25,8,25,25,23,23,15,ALL SETS,69,54,8,7,,54,26,42,122,8,16,13,37,7,21,78,106,32,5,51,88,27,18,51,22,1,93,116
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Finland,Türkiye,2,3,22,23,25,25,8,25,25,23,23,15,SET 1,13,12,0,1,,12,4,10,26,0,3,1,4,1,6,15,22,9,1,9,19,4,4,10,5,1,20,26
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Finland,Türkiye,2,3,22,23,25,25,8,25,25,23,23,15,SET 2,20,15,3,2,,15,4,7,26,3,3,4,10,2,5,18,25,7,1,13,21,6,5,13,3,0,20,23
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Finland,Türkiye,2,3,22,23,25,25,8,25,25,23,23,15,SET 3,17,13,2,2,,13,8,4,25,2,3,2,7,2,3,19,24,4,0,14,18,5,4,11,7,0,17,24
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Finland,Türkiye,2,3,22,23,25,25,8,25,25,23,23,15,SET 4,14,9,3,2,,9,4,17,30,3,5,5,13,2,5,18,25,7,2,10,19,7,3,10,2,0,26,28
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Finland,Türkiye,2,3,22,23,25,25,8,25,25,23,23,15,SET 5,5,5,0,0,,5,6,4,15,0,2,1,3,0,2,8,10,5,1,5,11,5,2,7,5,0,10,15
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Türkiye,Finland,3,2,25,25,23,23,15,22,23,25,25,8,ALL SETS,79,58,16,5,,58,18,36,112,16,14,15,45,5,22,84,111,24,7,54,85,28,17,56,18,2,94,114
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Türkiye,Finland,3,2,25,25,23,23,15,22,23,25,25,8,SET 1,15,13,1,1,,13,3,4,20,1,2,2,5,1,6,19,26,5,1,10,16,5,2,10,4,0,16,20
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Türkiye,Finland,3,2,25,25,23,23,15,22,23,25,25,8,SET 2,18,15,2,1,,15,3,9,27,2,5,1,8,1,3,20,24,4,2,14,20,6,6,15,5,0,22,27
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Türkiye,Finland,3,2,25,25,23,23,15,22,23,25,25,8,SET 3,19,12,7,0,,12,3,6,21,7,4,2,13,0,6,18,24,5,2,14,21,3,6,11,6,1,16,23
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Türkiye,Finland,3,2,25,25,23,23,15,22,23,25,25,8,SET 4,16,12,2,2,,12,9,11,32,2,3,9,14,2,4,17,23,7,2,11,20,11,2,14,3,1,28,32
Men,2023,17,2023/10/6,B,Preliminary,Tokyo,Japan,Türkiye,Finland,3,2,25,25,23,23,15,22,23,25,25,8,SET 5,11,6,4,1,,6,0,6,12,4,0,1,5,1,3,10,14,3,0,5,8,3,1,6,0,0,12,12
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Egypt,Tunisia,3,2,15,13,25,29,15,25,25,21,27,9,ALL SETS,79,63,15,1,,63,25,42,130,15,37,21,73,1,13,83,97,30,5,59,94,33,11,49,24,1,107,132
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Egypt,Tunisia,3,2,15,13,25,29,15,25,25,21,27,9,SET 1,12,10,2,0,,10,6,13,29,2,8,2,12,0,4,11,15,6,2,16,24,8,1,9,4,1,26,31
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Egypt,Tunisia,3,2,15,13,25,29,15,25,25,21,27,9,SET 2,12,10,2,0,,10,8,8,26,2,8,6,16,0,2,12,14,8,2,13,23,3,2,6,4,0,22,26
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Egypt,Tunisia,3,2,15,13,25,29,15,25,25,21,27,9,SET 3,18,14,4,0,,14,6,10,30,4,9,7,20,0,1,23,24,6,0,11,17,9,3,14,4,0,27,31
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Egypt,Tunisia,3,2,15,13,25,29,15,25,25,21,27,9,SET 4,26,21,5,0,,21,5,9,35,5,7,4,16,0,5,24,29,9,1,15,25,9,4,14,10,0,25,35
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Egypt,Tunisia,3,2,15,13,25,29,15,25,25,21,27,9,SET 5,11,8,2,1,,8,0,2,10,2,5,2,9,1,1,13,15,1,0,4,5,4,1,6,2,0,7,9
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Tunisia,Egypt,2,3,25,25,21,27,9,15,13,25,29,15,ALL SETS,81,60,16,5,,60,20,46,126,16,25,19,60,5,13,89,107,20,1,63,84,29,17,55,30,0,99,129
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Tunisia,Egypt,2,3,25,25,21,27,9,15,13,25,29,15,SET 1,16,10,4,2,,10,4,9,23,4,8,7,19,2,1,22,25,3,0,8,11,11,0,11,5,0,17,22
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Tunisia,Egypt,2,3,25,25,21,27,9,15,13,25,29,15,SET 2,18,12,4,2,,12,2,9,23,4,2,1,7,2,1,21,24,3,0,9,12,6,4,13,5,0,18,23
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Tunisia,Egypt,2,3,25,25,21,27,9,15,13,25,29,15,SET 3,18,14,4,0,,14,6,12,32,4,4,8,16,0,5,17,22,6,0,17,23,5,4,11,7,0,29,36
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Tunisia,Egypt,2,3,25,25,21,27,9,15,13,25,29,15,SET 4,21,16,4,1,,16,6,10,32,4,7,3,14,1,2,24,27,7,0,17,24,5,8,16,7,0,25,32
Men,2023,18,2023/10/6,B,Preliminary,Tokyo,Japan,Tunisia,Egypt,2,3,25,25,21,27,9,15,13,25,29,15,SET 5,8,8,0,0,,8,2,6,16,0,4,0,4,0,4,5,9,1,1,12,14,2,1,4,6,0,10,16
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,Slovenia,USA,1,3,18,25,20,18,-,25,21,25,25,-,ALL SETS,53,44,6,3,,44,19,47,110,6,13,17,36,3,19,60,82,21,3,54,78,26,14,51,16,2,97,115
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,Slovenia,USA,1,3,18,25,20,18,-,25,21,25,25,-,SET 1,7,7,0,0,,7,6,16,29,0,3,2,5,0,3,15,18,6,2,13,21,7,2,11,6,0,24,30
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,Slovenia,USA,1,3,18,25,20,18,-,25,21,25,25,-,SET 2,15,11,3,1,,11,3,9,23,3,3,8,14,1,6,18,25,6,0,8,14,7,4,17,6,1,17,24
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,Slovenia,USA,1,3,18,25,20,18,-,25,21,25,25,-,SET 3,20,18,0,2,,18,7,9,34,0,3,4,7,2,2,16,20,5,0,20,25,7,5,14,2,0,32,34
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,Slovenia,USA,1,3,18,25,20,18,-,25,21,25,25,-,SET 4,11,8,3,0,,8,3,13,24,3,4,3,10,0,8,11,19,4,1,13,18,5,3,9,2,1,24,27
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,USA,Slovenia,3,1,25,21,25,25,-,18,25,20,18,-,ALL SETS,66,53,10,3,,53,13,37,103,10,14,21,45,3,18,75,96,26,3,34,63,31,10,54,37,2,64,103
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,USA,Slovenia,3,1,25,21,25,25,-,18,25,20,18,-,SET 1,18,14,2,2,,14,5,8,27,2,2,8,12,2,5,19,26,6,0,9,15,11,0,12,6,1,21,28
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,USA,Slovenia,3,1,25,21,25,25,-,18,25,20,18,-,SET 2,13,11,2,0,,11,4,15,30,2,4,2,8,0,7,14,21,7,1,11,19,5,4,16,11,1,18,30
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,USA,Slovenia,3,1,25,21,25,25,-,18,25,20,18,-,SET 3,21,16,5,0,,16,0,8,24,5,6,2,13,0,0,25,25,6,2,10,18,7,5,14,8,0,16,24
Men,2023,19,2023/10/6,B,Preliminary,Tokyo,Japan,USA,Slovenia,3,1,25,21,25,25,-,18,25,20,18,-,SET 4,14,12,1,1,,12,4,6,22,1,2,9,12,1,6,17,24,7,0,4,11,8,1,12,12,0,9,21
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Japan,Serbia,3,0,25,25,25,-,-,17,14,22,-,-,ALL SETS,53,41,6,6,,41,8,26,75,6,16,13,35,6,7,60,73,15,2,27,44,17,7,34,9,0,64,73
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Japan,Serbia,3,0,25,25,25,-,-,17,14,22,-,-,SET 1,19,13,4,2,,13,1,9,23,4,6,2,12,2,2,20,24,5,1,7,13,7,2,10,5,0,17,22
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Japan,Serbia,3,0,25,25,25,-,-,17,14,22,-,-,SET 2,19,16,1,2,,16,3,5,24,1,4,8,13,2,1,22,25,4,0,9,13,7,2,13,2,0,22,24
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Japan,Serbia,3,0,25,25,25,-,-,17,14,22,-,-,SET 3,15,12,1,2,,12,4,12,28,1,6,3,10,2,4,18,24,6,1,11,18,3,3,11,2,0,25,27
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Serbia,Japan,0,3,17,14,22,-,-,25,25,25,-,-,ALL SETS,41,35,4,2,,35,13,27,75,4,15,13,32,2,11,42,55,16,6,44,66,14,16,35,18,1,57,76
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Serbia,Japan,0,3,17,14,22,-,-,25,25,25,-,-,SET 1,13,12,0,1,,12,5,10,27,0,4,5,9,1,5,12,18,4,2,16,22,6,1,8,4,0,22,26
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Serbia,Japan,0,3,17,14,22,-,-,25,25,25,-,-,SET 2,12,10,2,0,,10,5,10,25,2,7,2,11,0,1,13,14,6,2,16,24,3,6,10,7,0,19,26
Men,2023,20,2023/10/6,B,Preliminary,Tokyo,Japan,Serbia,Japan,0,3,17,14,22,-,-,25,25,25,-,-,SET 3,16,13,2,1,,13,3,7,23,2,4,6,12,1,5,17,23,6,2,12,20,5,9,17,7,1,16,24
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Egypt,Türkiye,1,3,21,18,25,23,-,25,25,20,25,-,ALL SETS,63,50,8,5,,50,22,38,110,8,15,22,45,5,21,62,88,19,5,56,80,35,17,56,27,0,81,108
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Egypt,Türkiye,1,3,21,18,25,23,-,25,25,20,25,-,SET 1,17,14,3,0,,14,3,9,26,3,6,2,11,0,6,16,22,5,1,15,21,6,5,13,3,0,24,27
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Egypt,Türkiye,1,3,21,18,25,23,-,25,25,20,25,-,SET 2,10,8,1,1,,8,8,8,24,1,1,4,6,1,4,13,18,5,1,16,22,6,6,12,8,0,15,23
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Egypt,Türkiye,1,3,21,18,25,23,-,25,25,20,25,-,SET 3,20,16,2,2,,16,3,7,26,2,5,6,13,2,5,18,25,2,2,12,16,9,4,14,7,0,19,26
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Egypt,Türkiye,1,3,21,18,25,23,-,25,25,20,25,-,SET 4,16,12,2,2,,12,8,14,34,2,3,10,15,2,6,15,23,7,1,13,21,14,2,17,9,0,23,32
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Türkiye,Egypt,3,1,25,25,20,25,-,21,18,25,23,-,ALL SETS,62,45,12,5,,45,16,39,100,12,21,13,46,5,14,75,94,11,5,51,67,30,17,53,12,1,85,98
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Türkiye,Egypt,3,1,25,25,20,25,-,21,18,25,23,-,SET 1,16,14,1,1,,14,3,7,24,1,7,4,12,1,3,20,24,2,0,14,16,9,5,14,6,0,19,25
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Türkiye,Egypt,3,1,25,25,20,25,-,21,18,25,23,-,SET 2,16,12,3,1,,12,5,7,24,3,2,1,6,1,3,21,25,5,1,8,14,6,4,12,3,1,19,23
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Türkiye,Egypt,3,1,25,25,20,25,-,21,18,25,23,-,SET 3,14,9,3,2,,9,3,11,23,3,7,3,13,2,4,14,20,2,2,16,20,3,3,7,2,0,20,22
Men,2023,21,2023/10/7,B,Preliminary,Tokyo,Japan,Türkiye,Egypt,3,1,25,25,20,25,-,21,18,25,23,-,SET 4,16,10,5,1,,10,5,14,29,5,5,5,15,1,4,20,25,2,2,13,17,12,5,20,1,0,27,28
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Finland,Tunisia,3,0,25,25,25,-,-,19,23,15,-,-,ALL SETS,61,45,12,4,,45,9,36,90,12,11,14,37,4,13,56,73,15,0,36,51,27,12,42,13,0,76,89
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Finland,Tunisia,3,0,25,25,25,-,-,19,23,15,-,-,SET 1,21,15,5,1,,15,3,12,30,5,3,5,13,1,4,19,24,6,0,11,17,11,5,17,4,0,27,31
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Finland,Tunisia,3,0,25,25,25,-,-,19,23,15,-,-,SET 2,19,13,3,3,,13,4,12,29,3,3,6,12,3,3,19,25,5,0,15,20,6,6,14,6,0,23,29
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Finland,Tunisia,3,0,25,25,25,-,-,19,23,15,-,-,SET 3,21,17,4,0,,17,2,12,31,4,5,3,12,0,6,18,24,4,0,10,14,10,1,11,3,0,26,29
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Tunisia,Finland,0,3,19,23,15,-,-,25,25,25,-,-,ALL SETS,39,35,4,0,,35,16,26,77,4,17,22,43,0,8,51,59,7,4,49,60,23,13,40,13,1,63,77
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Tunisia,Finland,0,3,19,23,15,-,-,25,25,25,-,-,SET 1,14,12,2,0,,12,6,10,28,2,4,5,11,0,3,17,20,1,1,18,20,9,4,15,6,0,21,27
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Tunisia,Finland,0,3,19,23,15,-,-,25,25,25,-,-,SET 2,17,16,1,0,,16,4,8,28,1,7,8,16,0,3,20,23,2,3,17,22,9,4,13,2,1,26,29
Men,2023,22,2023/10/7,B,Preliminary,Tokyo,Japan,Tunisia,Finland,0,3,19,23,15,-,-,25,25,25,-,-,SET 3,8,7,1,0,,7,6,8,21,1,6,9,16,0,2,14,16,4,0,14,18,5,5,12,5,0,16,21
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,Serbia,USA,0,3,18,18,17,-,-,25,25,25,-,-,ALL SETS,35,30,3,2,,30,9,24,63,3,10,3,16,2,15,37,54,18,12,32,62,7,10,25,13,0,49,62
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,Serbia,USA,0,3,18,18,17,-,-,25,25,25,-,-,SET 1,10,10,0,0,,10,1,12,23,0,4,2,6,0,6,12,18,7,4,10,21,4,2,8,3,0,21,24
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,Serbia,USA,0,3,18,18,17,-,-,25,25,25,-,-,SET 2,13,10,1,2,,10,3,5,18,1,3,0,4,2,4,13,19,5,4,11,20,1,5,9,5,0,13,18
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,Serbia,USA,0,3,18,18,17,-,-,25,25,25,-,-,SET 3,12,10,2,0,,10,5,7,22,2,3,1,6,0,5,12,17,6,4,11,21,2,3,8,5,0,15,20
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,USA,Serbia,3,0,25,25,25,-,-,18,18,17,-,-,ALL SETS,55,39,4,12,,39,7,14,60,4,15,15,34,12,12,50,74,12,2,25,39,17,7,32,19,2,40,61
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,USA,Serbia,3,0,25,25,25,-,-,18,18,17,-,-,SET 1,18,14,0,4,,14,2,6,22,0,5,7,12,4,4,17,25,6,0,6,12,9,3,15,7,2,15,24
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,USA,Serbia,3,0,25,25,25,-,-,18,18,17,-,-,SET 2,19,14,1,4,,14,2,3,19,1,4,2,7,4,4,16,24,1,2,12,15,4,2,8,5,0,13,18
Men,2023,23,2023/10/7,B,Preliminary,Tokyo,Japan,USA,Serbia,3,0,25,25,25,-,-,18,18,17,-,-,SET 3,18,11,3,4,,11,3,5,19,3,6,6,15,4,4,17,25,5,0,7,12,4,2,9,7,0,12,19
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Japan,Slovenia,3,0,25,25,25,-,-,21,22,18,-,-,ALL SETS,55,41,9,5,,41,11,21,73,9,15,12,36,5,13,56,74,14,5,30,49,24,4,37,15,2,56,73
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Japan,Slovenia,3,0,25,25,25,-,-,21,22,18,-,-,SET 1,21,15,5,1,,15,5,8,28,5,4,4,13,1,5,19,25,10,1,6,17,9,2,14,5,1,18,24
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Japan,Slovenia,3,0,25,25,25,-,-,21,22,18,-,-,SET 2,38,28,8,2,,28,4,10,42,8,14,6,28,2,10,36,48,2,6,28,36,14,4,20,4,2,42,48
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Japan,Slovenia,3,0,25,25,25,-,-,21,22,18,-,-,SET 3,15,12,0,3,,12,4,8,24,0,4,5,9,3,3,19,25,3,1,10,14,8,0,13,8,0,17,25
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Slovenia,Japan,0,3,21,22,18,-,-,25,25,25,-,-,ALL SETS,36,29,2,5,,29,15,32,76,2,10,16,28,5,12,45,62,14,5,42,61,16,10,35,18,2,57,77
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Slovenia,Japan,0,3,21,22,18,-,-,25,25,25,-,-,SET 1,11,9,1,1,,9,6,12,27,1,3,7,11,1,3,17,21,5,1,14,20,6,5,15,7,0,19,26
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Slovenia,Japan,0,3,21,22,18,-,-,25,25,25,-,-,SET 2,13,10,0,3,,10,5,9,24,0,4,2,6,3,5,15,23,5,1,13,19,4,3,9,4,0,20,24
Men,2023,24,2023/10/7,B,Preliminary,Tokyo,Japan,Slovenia,Japan,0,3,21,22,18,-,-,25,25,25,-,-,SET 3,12,10,1,1,,10,4,11,25,1,3,7,11,1,4,13,18,4,3,15,22,6,2,11,7,2,18,27
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Egypt,Finland,2,3,12,25,25,22,13,25,20,20,25,15,ALL SETS,74,62,8,4,,62,16,45,123,8,30,20,58,4,17,77,98,14,8,63,85,38,10,59,13,1,106,120
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Egypt,Finland,2,3,12,25,25,22,13,25,20,20,25,15,SET 1,9,9,0,0,,9,7,8,24,0,9,4,13,0,2,11,13,6,1,14,21,8,1,9,4,1,20,25
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Egypt,Finland,2,3,12,25,25,22,13,25,20,20,25,15,SET 2,22,16,4,2,,16,2,15,33,4,5,7,16,2,5,17,24,1,3,15,19,13,2,19,3,0,30,33
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Egypt,Finland,2,3,12,25,25,22,13,25,20,20,25,15,SET 3,17,13,2,2,,13,4,9,26,2,3,4,9,2,3,20,25,5,0,9,14,6,2,10,2,0,20,22
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Egypt,Finland,2,3,12,25,25,22,13,25,20,20,25,15,SET 4,16,15,1,0,,15,1,8,24,1,6,2,9,0,6,16,22,1,4,14,19,8,3,14,3,0,21,24
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Egypt,Finland,2,3,12,25,25,22,13,25,20,20,25,15,SET 5,10,9,1,0,,9,2,5,16,1,7,3,11,0,1,13,14,1,0,11,12,3,2,7,1,0,15,16
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Finland,Egypt,3,2,25,20,20,25,15,12,25,25,22,13,ALL SETS,80,62,10,8,,62,12,48,122,10,18,22,50,8,19,77,104,20,4,57,81,42,18,65,18,0,104,122
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Finland,Egypt,3,2,25,20,20,25,15,12,25,25,22,13,SET 1,20,14,5,1,,14,0,8,22,5,2,1,8,1,3,20,24,2,0,9,11,10,2,13,5,0,18,23
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Finland,Egypt,3,2,25,20,20,25,15,12,25,25,22,13,SET 2,13,9,1,3,,9,5,17,31,1,6,11,18,3,2,16,21,4,2,13,19,13,3,17,1,0,29,30
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Finland,Egypt,3,2,25,20,20,25,15,12,25,25,22,13,SET 3,15,13,2,0,,13,4,9,26,2,3,4,9,0,6,14,20,2,2,18,22,6,4,11,7,0,19,26
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Finland,Egypt,3,2,25,20,20,25,15,12,25,25,22,13,SET 4,19,14,1,4,,14,1,7,22,1,3,2,6,4,6,15,25,6,0,10,16,7,6,15,4,0,18,22
Men,2023,25,2023/10/8,B,Preliminary,Tokyo,Japan,Finland,Egypt,3,2,25,20,20,25,15,12,25,25,22,13,SET 5,13,12,1,0,,12,2,7,21,1,4,4,9,0,2,12,14,6,0,7,13,6,3,9,1,0,20,21
Men,2023,26,2023/10/8,B,Preliminary,Tokyo,Japan,Tunisia,Türkiye,0,3,13,22,27,-,-,25,25,29,-,-,ALL SETS,51,44,4,3,,44,16,30,90,4,13,15,32,3,10,51,64,10,8,52,70,26,10,42,23,2,72,97
Men,2023,26,2023/10/8,B,Preliminary,Tokyo,Japan,Tunisia,Türkiye,0,3,13,22,27,-,-,25,25,29,-,-,SET 1,10,9,1,0,,9,9,10,28,1,7,8,16,0,2,12,14,2,1,19,22,8,2,13,7,0,23,30
Men,2023,26,2023/10/8,B,Preliminary,Tokyo,Japan,Tunisia,Türkiye,0,3,13,22,27,-,-,25,25,29,-,-,SET 2,18,15,1,2,,15,2,10,27,1,2,2,5,2,6,14,22,2,4,17,23,5,5,10,6,0,22,28
Men,2023,26,2023/10/8,B,Preliminary,Tokyo,Japan,Tunisia,Türkiye,0,3,13,22,27,-,-,25,25,29,-,-,SET 3,23,20,2,1,,20,5,10,35,2,4,5,11,1,2,25,28,6,3,16,25,13,3,19,10,2,27,39
Men,2023,26,2023/10/8,B,Preliminary,Tokyo,Japan,Türkiye,Tunisia,3,0,25,25,29,-,-,13,22,27,-,-,ALL SETS,58,43,7,8,,43,6,28,77,7,16,17,40,8,7,62,77,10,3,41,54,23,13,41,9,1,69,79
Men,2023,26,2023/10/8,B,Preliminary,Tokyo,Japan,Türkiye,Tunisia,3,0,25,25,29,-,-,13,22,27,-,-,SET 1,18,13,4,1,,13,1,11,25,4,5,4,13,1,2,21,24,2,0,10,12,10,4,16,3,0,22,25
Men,2023,26,2023/10/8,B,Preliminary,Tokyo,Japan,Türkiye,Tunisia,3,0,25,25,29,-,-,13,22,27,-,-,SET 2,18,13,1,4,,13,2,4,19,1,4,6,11,4,2,19,25,5,2,9,16,5,5,12,2,1,17,20
